time_tag,xray_flux_0.05_0.4nm,xray_flux_0.1_0.8nm
2026-06-30 17:32:00+00:00,1.665916187221228e-07,3.31606838699372e-06
2026-06-30 17:33:00+00:00,1.543201761933233e-07,3.232266635677661e-06
2026-06-30 17:34:00+00:00,1.4317357965865085e-07,3.1573777050653007e-06
2026-06-30 17:35:00+00:00,1.3734948822730078e-07,3.093570740020368e-06
2026-06-30 17:36:00+00:00,1.3054423675384896e-07,3.032788981727208e-06
2026-06-30 17:37:00+00:00,1.2480931843583676e-07,2.9855332286388148e-06
2026-06-30 17:38:00+00:00,1.162891010153544e-07,2.9114582957845414e-06
2026-06-30 17:39:00+00:00,1.0772626524158113e-07,2.84414295492752e-06
2026-06-30 17:40:00+00:00,1.0424300000977382e-07,2.8085837584512774e-06
2026-06-30 17:41:00+00:00,1.0045120291124476e-07,2.772202833511983e-06
2026-06-30 17:42:00+00:00,9.642126030939836e-08,2.714574520723545e-06
2026-06-30 17:43:00+00:00,8.698271614093755e-08,2.6270754460711032e-06
2026-06-30 17:44:00+00:00,8.306555798753834e-08,2.54545443567622e-06
2026-06-30 17:45:00+00:00,8.122641759200634e-08,2.4906616999942344e-06
2026-06-30 17:46:00+00:00,7.701033410967284e-08,2.4322589524672367e-06
2026-06-30 17:47:00+00:00,7.317085959357429e-08,2.374540144955972e-06
2026-06-30 17:48:00+00:00,6.720157585959896e-08,2.326914909644984e-06
2026-06-30 17:49:00+00:00,6.859414725113312e-08,2.3065424556989456e-06
2026-06-30 17:50:00+00:00,7.043715299914767e-08,2.3265265554073267e-06
2026-06-30 17:51:00+00:00,7.373300547897088e-08,2.3349155071628047e-06
2026-06-30 17:52:00+00:00,7.082912389932973e-08,2.268523530801758e-06
2026-06-30 17:53:00+00:00,6.915540495811001e-08,2.2314109173748875e-06
2026-06-30 17:54:00+00:00,6.761698756463376e-08,2.204065822297707e-06
2026-06-30 17:55:00+00:00,6.382171591212682e-08,2.1737707811553264e-06
2026-06-30 17:56:00+00:00,6.27861282964659e-08,2.1490488961717347e-06
2026-06-30 17:57:00+00:00,6.571106325736764e-08,2.12641089092358e-06
2026-06-30 17:58:00+00:00,6.13231136981085e-08,2.0893874079774832e-06
2026-06-30 17:59:00+00:00,5.9283486564254424e-08,2.0658458197431173e-06
2026-06-30 18:00:00+00:00,5.5397325837702744e-08,2.050232751571457e-06
2026-06-30 18:01:00+00:00,5.644135825377816e-08,2.030937139352318e-06
2026-06-30 18:02:00+00:00,5.4351474432223774e-08,2.0110960576857906e-06
2026-06-30 18:03:00+00:00,5.425113513979341e-08,1.988557869481156e-06
2026-06-30 18:04:00+00:00,5.3855899295740535e-08,1.972847485376405e-06
2026-06-30 18:05:00+00:00,5.480589848616547e-08,1.9561475710361265e-06
2026-06-30 18:06:00+00:00,5.278968728816835e-08,1.935934051289223e-06
2026-06-30 18:07:00+00:00,5.2290332064330876e-08,1.9102453734376468e-06
2026-06-30 18:08:00+00:00,4.97231624763117e-08,1.8916767885457373e-06
2026-06-30 18:09:00+00:00,5.13904971910506e-08,1.8863065633922811e-06
2026-06-30 18:10:00+00:00,5.1694410529989916e-08,1.8753518133962643e-06
2026-06-30 18:11:00+00:00,5.7309200940380833e-08,1.904143005049264e-06
2026-06-30 18:12:00+00:00,6.790159545744245e-08,1.9933454495912883e-06
2026-06-30 18:13:00+00:00,5.773544486942229e-08,1.955486141014262e-06
2026-06-30 18:14:00+00:00,5.5335252824306735e-08,1.93355708688614e-06
2026-06-30 18:15:00+00:00,5.50593810544342e-08,1.9417552721279208e-06
2026-06-30 18:16:00+00:00,5.888172793788726e-08,1.9645474367280258e-06
2026-06-30 18:17:00+00:00,5.3901988650295614e-08,1.9554267964849714e-06
2026-06-30 18:18:00+00:00,5.5499832285477175e-08,1.935066393343732e-06
2026-06-30 18:19:00+00:00,5.40971250018174e-08,1.9135418369842228e-06
2026-06-30 18:20:00+00:00,5.498324995301118e-08,1.8946616364701183e-06
2026-06-30 18:21:00+00:00,5.2987825682748735e-08,1.8792941318679368e-06
2026-06-30 18:22:00+00:00,5.2831904184813545e-08,1.895564764708979e-06
2026-06-30 18:23:00+00:00,5.1543445067636646e-08,1.8895682387665147e-06
2026-06-30 18:24:00+00:00,4.9879801622410014e-08,1.8746019350146528e-06
2026-06-30 18:25:00+00:00,4.96171992381278e-08,1.8500712712921088e-06
2026-06-30 18:26:00+00:00,5.146690540414056e-08,1.8427117538522e-06
2026-06-30 18:27:00+00:00,5.6453846042359146e-08,1.8925099993793992e-06
2026-06-30 18:28:00+00:00,8.090270853244874e-08,2.027680920946296e-06
2026-06-30 18:29:00+00:00,1.3834979029070382e-07,2.3500265342590865e-06
2026-06-30 18:30:00+00:00,8.829745468119654e-08,2.2436986455431907e-06
2026-06-30 18:31:00+00:00,7.307703242531717e-08,2.1281300632836064e-06
2026-06-30 18:32:00+00:00,7.815533820121345e-08,2.131559767803992e-06
2026-06-30 18:33:00+00:00,8.341271495737601e-08,2.186563278883113e-06
2026-06-30 18:34:00+00:00,9.561767910781783e-08,2.2822800929134246e-06
2026-06-30 18:35:00+00:00,1.2209932265250245e-07,2.5105143777182093e-06
2026-06-30 18:36:00+00:00,1.4042181817330857e-07,2.697112904570531e-06
2026-06-30 18:37:00+00:00,1.476877855566272e-07,2.849004658855847e-06
2026-06-30 18:38:00+00:00,1.469509669504987e-07,2.9582984097942244e-06
2026-06-30 18:39:00+00:00,1.562130478305335e-07,3.116059588137432e-06
2026-06-30 18:40:00+00:00,1.7156396836526258e-07,3.279864813521272e-06
2026-06-30 18:41:00+00:00,1.5334813951994877e-07,3.155978447466623e-06
2026-06-30 18:42:00+00:00,1.5696291200129053e-07,3.2113184715854004e-06
2026-06-30 18:43:00+00:00,1.95070654740448e-07,3.5804571325570578e-06
2026-06-30 18:44:00+00:00,2.1713120190725027e-07,3.860978722514119e-06
2026-06-30 18:45:00+00:00,2.365786997415853e-07,4.021993845526595e-06
2026-06-30 18:46:00+00:00,2.924495277056849e-07,4.333605829742737e-06
2026-06-30 18:47:00+00:00,3.3285647305092425e-07,4.761214313475648e-06
